,Date,Title,Source,Text,Categories
0,2021-12-13 21:19:35,"<a href=""https://bitcoinmagazine.com/business/bitcoin-to-hit-100000-in-2022-bloomberg-report"">Adoption, Scarcity to Fuel a Bitcoin Run to $100K: Report</a>",bitcoinmagazine,"A recent Bloomberg Intelligence report says that Bitcoin is in a consolidating bull market and well on its way to $100,000....",BTC|Market|Trading|Business
1,2021-12-13 21:19:23,"<a href=""https://blockworks.co/wells-fargo-and-hsbc-to-use-blockchain-tech-to-settle-transactions/"">Wells Fargo and HSBC to Use Blockchain Tech to Settle Transactions</a>",blockworks,"Banks that don’t move toward crypto “could be left behind,” ProChain Capital president saysThe post Wells Fargo and HSBC to Use Blockchain Tech to Settle Transactions appeared first on Blockworks....",Blockchain|Technology|Market|Regulation
2,2021-12-13 21:15:01,"<a href=""https://seekingalpha.com/news/3779663-robinhood-plans-cryptocurrency-gifting-feature-to-expand-into-crypto-bloomberg?utm_source=cryptocompare.com&utm_medium=referral"">Robinhood plans cryptocurrency gifting feature to expand into crypto - Bloomberg</a>",seekingalpha,"Robinhood Markets (NASDAQ:HOOD) appears to be developing a feature that will allow users to send cryptocurrency to other users as a gift, Bloomberg reports, citing code found in a beta version of the company's iPhone app. The code indicates that users will be able to send crypto through digital gift card, with the abil...",Market
3,2021-12-13 21:05:36,"<a href=""https://cryptopotato.com/11-years-ago-satoshi-dropped-a-final-message-theres-more-work-to-do/"">11 Years Ago, Satoshi Dropped a Final Message: “There’s More Work to Do”</a>",cryptopotato,"It's been 11 years since Satoshi Nakamoto ended all communications with the crypto industry, and he left a final message to all - there's more work to do....",BTC
4,2021-12-13 21:04:28,"<a href=""https://coingape.com/can-these-nft-tokens-hold-the-traders-attention-chiliz-and-terra-price-analysis/"">Will these NFT tokens hold trader’s attention for long? Chiliz and TERRA Price Analysis</a>",coingape,"Chiliz had been making good progress over the last year, this is a platform that allows users to trade tokens to support the professional sports team. It is primarily an infrastructure that supports sports and entertainment entities to monetize their audiences with blockchain-based solutions. Looking at the four-hour c...",ICO|Market|Trading
5,2021-12-13 21:03:46,"<a href=""https://dailyhodl.com/2021/12/13/tectona-releases-ai-generated-nft-collection-in-major-metaverse-move/"">Tectona Releases AI-Generated NFT Collection in Major Metaverse Move</a>",dailyhodl,"December 13, 2021 – Tel Aviv, Israel Israel&#8217;s leading public blockchain technology company, Tectona, has launched a platform allowing anyone to generate unique art with a sophisticated AI for minting as NFTs. Tectona, listed on the Tel Aviv stock exchange (TASE:TECT) and focused exclusively on blockchain technolo...",Blockchain|Technology|Exchange|Business|Sponsored
6,2021-12-13 21:01:57,"<a href=""https://www.newsbtc.com/news/solana/how-solana-was-brought-down-by-this-dapp-launch/"">How Solana Was Brought Down By This dApp Launch</a>",newsbtc,"Solana has been taking market share out of Ethereum across several sectors. The platform has seen the expansion of its NFT based projects with SolChicks, one of its latest on-chain games with a play-to-earn (P2E) model, causing a lot of hype amongst the users. Related Reading &#124; Grayscale Launches Solana Trust Foll...",ETH|Market|ICO|Blockchain|Business
7,2021-12-13 21:00:25,"<a href=""https://dailyhodl.com/2021/12/13/metaverse-investors-compare-decentraland-and-the-sandbox-to-manhattan-in-the-1800s-report/"">Metaverse Investors Compare Decentraland and the Sandbox to Manhattan in the 1800s: Report</a>",dailyhodl,"Investors in the blossoming metaverse sector are comparing the new digital realm to prime New York real estate hundreds of years ago. In a report from Markets Insider, Lorne Sugarman, CEO of virtual real estate company Metaverse Group, explains his logic behind paying serious money for buying plots of digital land on v...",Business|Altcoin|Market|Blockchain
8,2021-12-13 20:59:21,"<a href=""https://cryptobriefing.com/german-savings-banks-will-consider-crypto-trading-for-customers/?utm_source=main_feed&utm_medium=rss"">German Savings Banks Will Consider Crypto Trading for Customers</a>",cryptobriefing,...,Trading
9,2021-12-13 20:55:28,"<a href=""https://www.newsbtc.com/crypto/could-an-elon-musk-time-magazine-cover-predict-the-crypto-cycle-peak/"">Could An Elon Musk Time Magazine Cover Predict The Crypto Cycle Peak?</a>",newsbtc,"The crypto market is in turmoil – a major change from the exuberance that kickstarted the year. One of the most important figures responsible for the euphoria in Q1, was none other than the self-proclaimed Dogefather, Elon Musk. His sudden love affair with Bitcoin and other crypto assets send valuations flying, and onc...",BTC|Market|Trading|Technology
