,Date,Title,Source,Text,Categories
10,2021-12-13 20:55:17,"<a href=""https://dailyhodl.com/2021/12/13/panic-sell-or-buy-the-dip-coinshares-says-institutions-extremely-polarized-over-crypto-market-correction/"">Panic Sell or Buy the Dip? CoinShares Says Institutions ‘Extremely Polarized’ Over Crypto Market Correction</a>",dailyhodl,"Leading digital asset manager CoinShares says that institutional investors are in disagreement over the latest crypto correction. According to CoinShares, crypto investment products saw nearly $88 million worth of inflows last week. However, the numbers may not tell the full story as some investment providers saw more ...",BTC|ETH|ADA|Market|TRX
11,2021-12-13 20:48:15,"<a href=""https://seekingalpha.com/news/3779652-morgan-stanley-ceo-crypto-meme-stocks-pose-risk-but-general-stock-market-not-that-crazy?utm_source=cryptocompare.com&utm_medium=referral"">Morgan Stanley CEO: Crypto, meme stocks pose risk but general stock market 'not that crazy'</a>",seekingalpha,"Morgan Stanley CEO James Gorman said Monday that certain speculative parts of the financial markets pose a risk to investors, like cryptocurrencies and meme stocks, but the overall stock market is ""not that crazy,"" even at current historic levels of valuation. Speaking to CNBC, the head of Morgan Stanley (NYSE:MS) argu...",Business|Market|BTC|ICO|Fiat
12,2021-12-13 20:46:16,"<a href=""https://cointelegraph.com/news/sec-chair-s-regulatory-agenda-fails-to-include-clarity-on-crypto-says-hester-peirce"">SEC chair's regulatory agenda fails to include clarity on crypto, says Hester Peirce</a>",cointelegraph,"""The Agenda — through its silence on crypto — signals that the market can expect continued questions around the application of our securities laws to this area of increasing investor interest,” said two SEC commissioners....",Regulation|Market|Business
13,2021-12-13 20:42:36,"<a href=""https://seekingalpha.com/article/4475006-marathon-digital-an-uphill-battle?utm_source=cryptocompare.com&utm_medium=referral"">Marathon Digital: An Uphill Battle</a>",seekingalpha,Management has left more to be desired.There is a staggering amount of dilution hindering potential upside.Current and estimated future hash rates are too low to justify the current price....,Trading
14,2021-12-13 20:37:00,"<a href=""https://coinpedia.org/non-fungible-token-nft/why-are-crypto-savvies-keen-on-these-top-play-to-earn-games-for-2021/"">Why Are Crypto Savvies Keen On These Top Play-to-Earn Games For 2021?</a>",coinpedia,"The post Why Are Crypto Savvies Keen On These Top Play-to-Earn Games For 2021? appeared first on Coinpedia - Fintech &amp; Cryptocurreny News Media| Crypto GuideTech savvies from the crypto town continue to explore the vivid projects of the crypto industry available in abundance. The world of NFTs, metaverse, gaming ha...",Other
15,2021-12-13 20:36:52,"<a href=""https://coinquora.com/cjm-bep-20-presale-on-december-17th-2021/"">$CJM BEP-20 Presale on December 17th 2021</a>",coinquora,"Ontario, Canada – Crypto Jackpot, the BEP-20 token on the BSC Network with weekly raffles built into its contract, announced ...Read More......",ICO|Sponsored
16,2021-12-13 20:34:51,"<a href=""https://decrypt.co/88177/hacker-steals-140-million-polygon-gaming-platform-nft-marketplace-vulcan-forged"">Hacker Steals $140 Million From Polygon Gaming Platform, NFT Marketplace Vulcan Forged</a>",decrypt,"Was that ""play to earn"" crypto or ""pay to learn"" a hard lesson about private keys?...",Other
17,2021-12-13 20:34:45,"<a href=""https://seekingalpha.com/news/3779647-bank-of-england-says-rapid-growth-in-cryptos-point-to-financial-stability-risks?utm_source=cryptocompare.com&utm_medium=referral"">Bank of England says rapid growth in cryptos point to financial stability risks</a>",seekingalpha,"The Bank of England's Financial Policy Committee believes that crypto's rapid growth and development will present a number of financial stability risks, according to the BOE's December Financial Stability Report. ""Such cryptoassets have no intrinsic value, are vulnerable to major price corrections and so investors may ...",Regulation|Fiat|BTC|Market|Trading
18,2021-12-13 20:30:37,"<a href=""https://bitcoinist.com/flexa-begins-accepting-shiba-inu/"">High Praise For Shiba Inu As Flexa Begins Accepting SHIB Payments</a>",bitcoinist,Shiba Inu has recorded increasing use cases in the payments system. The meme coin has now become one of the top altcoins of choice for merchants who are looking to enable cryptocurrency payments on their platform. This is both due to the low transaction fees and the incredibly large user base that comes with the [&#823...,Altcoin
19,2021-12-13 20:30:26,"<a href=""https://news.bitcoin.com/economist-mohamed-el-erian-says-feds-characterization-of-inflation-as-transitory-the-worst-call-in-history/"">Economist Mohamed El-Erian Says Fed’s Characterization of Inflation as ‘Transitory’ the ‘Worst Call in History’</a>",bitcoin.com,"On Monday, December 13, following Friday&#x2019;s U.S. consumer price index report published by the Bureau of Labor Statistics, Americans are discussing the Federal Reserve. Thousands of tweets concerning the Federal Reserve topic have been trending on Twitter, as inflation has gripped the U.S. economy. Furthermore, Mo...",Fiat|Market|Trading
20,2021-12-13 20:30:07,"<a href=""https://ambcrypto.com/bbva-switzerland-becomes-first-traditional-bank-in-europe-to-offer-eth-to-clients/"">BBVA Switzerland becomes first traditional bank in Europe to offer ETH to clients</a>",ambcrypto,"Ethereum, the largest altcoin has a massive ecosystem of decentralized finance use cases with rapidly growing adoption. More institutional investors are seeing ether as a store of value. As per a Coinbase&#8217;s report, a growing number of its institutional clients have taken positions in ether, the native currency of...",ETH|Altcoin|Fiat|Business
21,2021-12-13 20:18:10,"<a href=""https://coingape.com/sushiswap-token-price-analysis-sushi-token-could-drop-another-40-if-sustains-below-the-6-mark/"">SushiSwap token Price Analysis: SUSHI Token Could Drop Another 40% If Sustains Below The $6 Mark.</a>",coingape,"November was not so fair with the SUSHI investors, as the token lost more than 30% in this month. December, following the same footstep of this previous month, displays even more seeling in its price where it has recently given a breakdown from the $6, indicating even more price drop. SUSHI/USD Daily Time Frame Chart T...",ICO|Trading|Market|Business
22,2021-12-13 20:08:55,"<a href=""https://cryptopotato.com/german-savings-banks-association-may-offer-a-crypto-wallet-in-2022/"">German Savings Banks Association May Offer A Crypto Wallet in 2022</a>",cryptopotato,"A massive association of savings banks across Germany may soon facilitate crypto purchases, providing customers a potential solution to rising inflation....",Other
23,2021-12-13 20:05:22,"<a href=""https://coinquora.com/the-son-of-shib-ready-to-follow-fathers-footsteps-into-a-social-phenomenon/"">The SON Of SHIB Ready to Follow Father’s Footsteps into a Social Phenomenon</a>",coinquora,"After the extraterrestrial emergence of Dogecoin, Safemoon, and of course the great Shiba Inu, thousands of new crypto projects have ...Read More......",Sponsored
24,2021-12-13 20:03:41,"<a href=""https://dailyhodl.com/2021/12/13/the-fourth-phemex-traders-arena-competition-is-open-with-a-prize-fund-of-up-to-750000/"">The Fourth Phemex Trader’s Arena Competition Is Open With a Prize Fund of Up to $750,000</a>",dailyhodl,"On November 25, 2021, Phemex celebrated two years of existence. To celebrate this milestone, Phemex launched the fourth edition of its ‘Phemex trader’s arena’ trading contest. The world-class Singapore-based digital asset derivatives exchange is encouraging teams to compete for a gargantuan $750,000 prize pool. This is...",Exchange|Trading|Sponsored
25,2021-12-13 20:03:39,"<a href=""https://coingape.com/meme-coins-have-started-to-slide-off-the-charts-whats-next-dogecoin-and-shiba-inu-price-analysis-13th-december/"">Meme-coins have slid off the charts, what’s next? Dogecoin and Shiba Inu Price Analysis: 13th December</a>",coingape,"The cryptocurrency market had witnessed quite a fall in the month of December, ever since that flash crash, recovery has been slow for most crypto-coins. Although, this year has been a year for meme-coins, with Dogecoin stealing the show and Elon Musk supporting the coin, all the while causing multiple rallies one afte...",Market|Trading
26,2021-12-13 20:00:28,"<a href=""https://www.livebitcoinnews.com/robert-kiyosaki-believes-btc-will-crash-miserably/"">Robert Kiyosaki Believes BTC Will Crash Miserably</a>",livebitcoinnews,"Robert Kiyosaki – the author of “Rich Dad, Poor Dad” – believes that a huge market crash is coming, and that bitcoin – along with many other assets, such as gold and silver – will come to a screeching halt rather soon. Robert Kiyosaki &#8211; The Market Will Suffer Kiyosaki suggests that a huge economic...The post Robe...",BTC|Market|Fiat
27,2021-12-13 19:53:29,"<a href=""https://seekingalpha.com/news/3779639-bank-of-russia-rejects-mutual-funds-from-investing-in-crypto-assets?utm_source=cryptocompare.com&utm_medium=referral"">Bank of Russia rejects mutual funds from investing in crypto assets</a>",seekingalpha,"The Bank of Russia prohibits mutual funds in the country to invest directly or indirectly in digital assets, according to the central bank's directive. Additionally, these funds cannot invest in ""financial instruments, the value of which depends on the prices of digital currencies,"" according to the directive. Recall i...",Fiat|BTC|Market|ICO|Trading
28,2021-12-13 19:45:23,"<a href=""https://dailyhodl.com/2021/12/13/top-crypto-analyst-says-mania-phase-incoming-for-bitcoin-as-btc-follows-famous-stock-chart-pattern-heres-his-target/"">Top Crypto Analyst Says Mania Phase Incoming for Bitcoin As BTC Follows Famous Stock Chart Pattern – Here’s His Target</a>",dailyhodl,"A popular crypto analyst and trader is saying that Bitcoin is due for a steep rally to the six-figure level as BTC follows a widely-known pattern in the equities market. Crypto strategist Kevin Svenson first suggested the three peaks and a domed house pattern in June while Bitcoin was struggling to hold $30,000. At the...",BTC|Trading|Business|Market
29,2021-12-13 19:41:48,"<a href=""https://dailyhodl.com/2021/12/13/banking-giants-wells-fargo-and-hsbc-to-use-new-blockchain-platform-to-settle-global-forex-trades/"">Banking Giants Wells Fargo and HSBC To Use New Blockchain Platform To Settle Global Forex Trades</a>",dailyhodl,"Banking behemoths Wells Fargo and HSBC Bank are teaming up to use a blockchain solution for netting and settlements of matched foreign exchange (forex) transactions. According to Wells Fargo&#8217;s co-head of macro division Mark Jones, this will be the first time the bank has utilized blockchain technology in forex se...",Blockchain|Fiat|Exchange|Technology
30,2021-12-13 19:30:56,"<a href=""https://ambcrypto.com/russian-regulators-aim-to-increase-legislation-in-the-crypto-sector/"">Russian regulators aim to increase legislation in the crypto sector</a>",ambcrypto,"The Investigative Committee of Russia might be looking to exert more influence over the crypto sector. In a recent interview, Alexander Bastrykin, Chairman of the Investigative Committee of Russia said that the decentralized nature of the issuance of digital currency does not allow for full state control in the area. H...",Regulation
31,2021-12-13 19:26:49,"<a href=""https://decrypt.co/88173/bitcoin-ethereum-down-market-uncertainty-federal-reserve-taper"">Bitcoin, Ethereum Down 6% as Uncertainty Around Fed Taper Lingers</a>",decrypt,New comments from Fed Chairman Jerome Powell hint that officials could hold off tapering its bond buying program due to the COVID-19 omicron variant....,BTC|ETH|Market
32,2021-12-13 19:26:19,"<a href=""https://dailyhodl.com/2021/12/13/trackgood-brings-supply-chain-transparency-to-italys-oldest-coffee-roasters/"">Trackgood Brings Supply Chain Transparency to Italy’s Oldest Coffee Roasters</a>",dailyhodl,"December 13, 2021 – Wellington, New Zealand Blockchain-powered transparency platform Trackgood empowers 150-year old Italian roastery with complete coffee supply chain traceability. Consumers increasingly want to know where the products they are purchasing are coming from to ensure ethical sourcing and sustainable busi...",Business|Sponsored
33,2021-12-13 19:20:30,"<a href=""https://www.theblockcrypto.com/linked/127360/twitch-co-founder-justin-kan-to-launch-a-gaming-nft-marketplace-called-fractal?utm_source=cryptocompare&utm_medium=rss"">Twitch co-founder Justin Kan to launch a gaming NFT marketplace called Fractal</a>",theblock,Fractal will act as a primary and secondary market for non-fungible tokens (NFTs) with utility in any game universe.The post Twitch co-founder Justin Kan to launch a gaming NFT marketplace called Fractal appeared first on The Block....,Market|ICO
34,2021-12-13 19:08:25,"<a href=""https://dailyhodl.com/2021/12/13/mafia-metaverse-syn-city-announces-partnership-with-okex-blockdream-ventures/"">Mafia Metaverse SYN CITY Announces Partnership With OKEx Blockdream Ventures</a>",dailyhodl,"December 13, 2021 – Singapore, Singapore OKEx Blockdream Ventures – the venture arm of a top cryptocurrency exchange and blockchain ecosystem OKEx – today announced their alliance with play-to-earn blockchain game SYN CITY, which will be launching its mafia metaverse in days. Being a partner of OKEx Blockdream Ventures...",Asia|Blockchain|Exchange|Sponsored
35,2021-12-13 19:05:09,"<a href=""https://dailyhodl.com/2021/12/13/patriotic-altcoin-manages-330-rally-in-seven-days-while-rest-of-crypto-markets-turn-red/"">Patriotic Altcoin Manages 330% Rally in Seven Days While Rest of Crypto Markets Turn Red</a>",dailyhodl,"A unique crypto asset has been soaring like an eagle even as the broader crypto markets struggle to hold the line. The altcoin PEOPLE represents the ConstitutionDAO (decentralized autonomous organization) project, which crowdfunded roughly $47 million dollars worth of Ethereum (ETH) in an attempt to purchase one of the...",ETH|Altcoin|Market|Trading
36,2021-12-13 19:01:00,"<a href=""https://coinpedia.org/price-analysis/polkadot-price-analysis-heres-what-traders-can-expect-for-dot-price-on-december-18th/"">Polkadot Price Analysis : Here’s What Traders Can Expect For DOT Price on December 18th</a>",coinpedia,"The post Polkadot Price Analysis : Here&#8217;s What Traders Can Expect For DOT Price on December 18th appeared first on Coinpedia - Fintech &amp; Cryptocurreny News Media| Crypto GuideSince hitting a low of $23.95, Polkadot (DOT) has rebounded significantly. Polkadot is now trading at $28, with $1.4 billion in trading...",Trading|Market
37,2021-12-13 19:00:57,"<a href=""https://bitcoinist.com/ethereum-miners-unlock-21-hashrate-rtx-3080ti-lhr/"">Ethereum Miners Unlock 21% More Hashrate On Nvidia RTX 3080ti LHR</a>",bitcoinist,"Thanks to a BIOS update for EVGA&#8217;s version of the Nvidia RTX 3080ti LHR graphics card, Ethereum miners can now enjoy 21% more hashrate. Ethereum Miners Can Now Use 21% More Hashrate On Nvidia RTX 3080ti LHR With Firmware Update As per a report from OwnSnap, ETH miners can now unlock more hashrate on their [&#8230...",ETH|Mining
38,2021-12-13 19:00:26,"<a href=""https://www.newsbtc.com/news/bitcoin/bitcoin-hashrate-approaches-new-ath-what-does-it-mean-for-the-price/"">Bitcoin Hashrate Approaches New ATH, What Does It Mean For The Price?</a>",newsbtc,"Data shows Bitcoin mining hashrate is now near its all-time high (ATH) set back in April. Here&#8217;s what it may mean for the price of the crypto. Bitcoin Mining Hashrate Nears A New ATH According to on-chain data, the BTC network hashrate seems to be approaching the ATH it set back in April of this year. The &#8220;...",BTC|Mining|Blockchain|Trading
39,2021-12-13 19:00:00,"<a href=""https://cryptonews.com/news/crypto-listing-delisting-announcements-week-50.htm"">Crypto Listing and Delisting Announcements: Week 50</a>",cryptonews,"Here is our weekly collection of digital asset listing and delisting, trading pair-related announcements by crypto exchanges that we found last week and today. Have we missed something? Do you have information about new listings and/or delistings? Let us know here. _________________________________________ AscendEXList...",Trading|Exchange|Altcoin
40,2021-12-13 18:35:23,"<a href=""https://dailyhodl.com/2021/12/13/gate-io-to-launch-first-futures-trading-competition-with-2-million-in-prizes-widest-variety-of-coins/"">Gate.io To Launch First Futures Trading Competition With $2 Million in Prizes, Widest Variety of Coins</a>",dailyhodl,"December 13, 2021 – Singapore, Singapore Gate.io, one of the world’s leading cryptocurrency trading platforms, has announced plans to launch one of the world’s first crypto futures contract trading contests. The platform, established in 2013, has recently grown to become the sixth-largest crypto futures trading platfor...",Trading|Asia|Sponsored
41,2021-12-13 18:34:13,"<a href=""https://coinquora.com/ludo-leads-nft-aggregator-platform-pioneers-as-the-first-nft-metasearch/"">Ludo Leads NFT Aggregator Platform, Pioneers as the First NFT Metasearch</a>",coinquora,Ludo operates an NFT metasearch engine like a Google for NFTs. Ludo provides tangible value with low fees. Non-fungible tokens ...Read More......,ICO|Blockchain
42,2021-12-13 18:30:27,"<a href=""https://news.bitcoin.com/90-of-bitcoins-supply-cap-has-been-issued-miners-have-119-years-left-to-mine-btc/"">90% of Bitcoin’s Supply Cap Has Been Issued, Miners Have 119 Years Left to Mine BTC</a>",bitcoin.com,"On December 12, crypto advocates celebrated the fact that 90% of the 21 million bitcoins that will ever exist have been mined into circulation. Currently, Bitcoin&#x2019;s inflation rate per annum is around 1.88%, which is lower than the central banks&#x2019; traditional 2% target reference. Furthermore, in 875 days, t...",BTC|Mining
43,2021-12-13 18:30:18,"<a href=""https://ambcrypto.com/technology-bet-ethereums-high-gas-fees-may-be-measure-of-success/"">‘Technology bet’ Ethereum’s high gas fees may be ‘measure of success’</a>",ambcrypto,"Ethereum has astounded everyone, not just people within the crypto-community, but those outside too with its growth. According to CoinMarketCap, the current ETH market value share has exceeded 21% &#8211; Its highest level since August 2017. In fact, ETH&#8217;s market value share was as high as 31.17% in June 2017. No...",ETH|Market|Altcoin|Sponsored
44,2021-12-13 18:29:59,"<a href=""https://nulltx.com/near-protocol-price-up-36-in-the-past-week-exploring-metaverse-and-web3-is-paying-off/"">NEAR Protocol Price Up 36% In the Past Week, Exploring Metaverse and Web3 Is Paying Off</a>",themerkle,"With cryptocurrency markets seeing bearish momentum today, most coins registered single-digit percent price drops. However, with all the blood in the market, NEAR Protocol&#8217;s price increased by over 36% in the past week. What is NEAR, and why is the price rising? Let&#8217;s find out. What Is NEAR Protocol? NEAR d...",Trading|Blockchain|Market
45,2021-12-13 18:21:35,"<a href=""https://dailyhodl.com/2021/12/13/portal-partners-with-chainlink-to-bring-trusted-data-onto-its-bitcoin-based-dex/"">Portal Partners With Chainlink To Bring Trusted Data Onto Its Bitcoin-Based DEX</a>",dailyhodl,"December 13, 2021 – San Francisco, California Portal, a true cross-chain DEX that makes atomic transactions between Bitcoin and other digital assets fast, secure and private, has entered a strategic partnership with Chainlink, the world&#8217;s premier decentralized oracle network, to get access to trusted and high-qua...",BTC|Trading|Sponsored
46,2021-12-13 18:19:13,"<a href=""https://www.theblockcrypto.com/linked/127326/bank-of-england-calls-for-global-tightening-of-crypto-regulation?utm_source=cryptocompare&utm_medium=rss"">Bank of England calls for global tightening of crypto regulation</a>",theblock,The Bank of England said on Monday that regulatory and legal frameworks for crypto assets would have to be ramped up both domestically and globally to combat the fast-moving market.The post Bank of England calls for global tightening of crypto regulation appeared first on The Block....,Regulation|Fiat
47,2021-12-13 18:15:49,"<a href=""https://cryptopotato.com/more-people-familiar-with-dogecoin-than-ethereum-says-grayscale-study/"">More People Familiar With Dogecoin Than Ethereum, Says Grayscale Study</a>",cryptopotato,"Despite its inferior market cap size, Dogecoin is more widely recognized by American investors than Ethereum – the second-largest cryptocurrency....",ETH|Market|Business
48,2021-12-13 18:14:10,"<a href=""https://coingape.com/tezos-price-analysis-the-rsi-bullish-divergence-at-4-support-hints-upcoming-rally-in-xtz-coin/"">Tezos Price Analysis: The RSI Bullish Divergence At $4 Support Hints Upcoming Rally In XTZ Coin</a>",coingape,"The XTZ coin displays a V-top bearish reversal in its technical chart, which has dropped the price to the $4 mark. This support level indicates the presence of strong demand pressure below it as the price sustains this level even in the bloodbath of December 4th. The crypto traders will need the same signal if The post...",Trading|XTZ|Market
49,2021-12-13 18:13:03,"<a href=""https://cryptobriefing.com/nft-marketplace-vulcan-forged-hacked-for-140m/?utm_source=main_feed&utm_medium=rss"">NFT Marketplace Vulcan Forged Hacked for $140M</a>",cryptobriefing,...,Market
