,Symbol,Name,Price,1h Δ,24h Δ,24h vol,Market cap (USD),Supply,Updated
21,<a href=https://cryptocompare.com/coins/icp/overview>ICP</a>,<a href=https://cryptocompare.com/coins/icp/overview>Internet Computer</a>,40.88,<p class=red>-0.61%</p>,<p class=red>-3.56%</p>,"180,635,465.0","19,419,754,401.0","475,042,915.0",2021-11-30 21:41:54
22,<a href=https://cryptocompare.com/coins/matic/overview>MATIC</a>,<a href=https://cryptocompare.com/coins/matic/overview>Polygon</a>,1.8,<p class=red>-1.26%</p>,<p class=green>+1.35%</p>,"665,268,086.0","17,970,000,000.0","10,000,000,000.0",2021-11-30 21:41:51
23,<a href=https://cryptocompare.com/coins/xlm/overview>XLM</a>,<a href=https://cryptocompare.com/coins/xlm/overview>Stellar</a>,0.34,<p class=red>-0.97%</p>,<p class=green>+2.86%</p>,"362,773,043.0","16,905,609,431.0","50,001,802,519.0",2021-11-30 21:41:58
24,<a href=https://cryptocompare.com/coins/ftt/overview>FTT</a>,<a href=https://cryptocompare.com/coins/ftt/overview>FTX Token</a>,50.55,<p class=red>-0.98%</p>,<p class=red>-2.69%</p>,"130,382,934.0","16,244,177,972.0","321,348,723.0",2021-11-30 21:41:55
25,<a href=https://cryptocompare.com/coins/klay/overview>KLAY</a>,<a href=https://cryptocompare.com/coins/klay/overview>Klaytn</a>,1.43,<p class=red>-0.57%</p>,<p class=red>-2.67%</p>,"25,794,426.0","15,346,995,695.0","10,734,542,944.0",2021-11-30 21:41:54
26,<a href=https://cryptocompare.com/coins/wbtc/overview>WBTC</a>,<a href=https://cryptocompare.com/coins/wbtc/overview>Wrapped Bitcoin</a>,"56,939.43",<p class=red>-0.97%</p>,<p class=red>-2.47%</p>,"65,359,172.0","14,427,099,338.0","253,376.0",2021-11-30 21:41:56
27,<a href=https://cryptocompare.com/coins/ltc/overview>LTC</a>,<a href=https://cryptocompare.com/coins/ltc/overview>Litecoin</a>,208.2,<p class=red>-0.96%</p>,<p class=green>+0.61%</p>,"905,927,369.0","14,383,863,064.0","69,086,758.0",2021-11-30 21:42:02
28,<a href=https://cryptocompare.com/coins/busd/overview>BUSD</a>,<a href=https://cryptocompare.com/coins/busd/overview>BUSD</a>,1.0,<p class=green>+0.0%</p>,<p class=green>+0.0%</p>,"1,318,232,363.0","13,430,804,109.0","13,430,804,109.0",2021-11-30 21:41:21
29,<a href=https://cryptocompare.com/coins/ilv/overview>ILV</a>,<a href=https://cryptocompare.com/coins/ilv/overview>Illuvium</a>,"1,824.41",<p class=red>-1.26%</p>,<p class=green>+3.97%</p>,"54,032,509.0","12,770,887,252.0","7,000,000.0",2021-11-30 21:41:57
30,<a href=https://cryptocompare.com/coins/dydx/overview>DYDX</a>,<a href=https://cryptocompare.com/coins/dydx/overview>dYdX</a>,12.74,<p class=red>-1.55%</p>,<p class=red>-0.31%</p>,"157,420,564.0","12,740,000,000.0","1,000,000,000.0",2021-11-30 21:41:43
31,<a href=https://cryptocompare.com/coins/algo/overview>ALGO</a>,<a href=https://cryptocompare.com/coins/algo/overview>Algorand</a>,1.82,<p class=red>-0.33%</p>,<p class=green>+0.33%</p>,"280,700,786.0","12,219,986,065.0","6,721,664,502.0",2021-11-30 21:41:44
32,<a href=https://cryptocompare.com/coins/bch/overview>BCH</a>,<a href=https://cryptocompare.com/coins/bch/overview>Bitcoin Cash</a>,570.02,<p class=red>-0.48%</p>,<p class=red>-0.72%</p>,"419,404,432.0","10,774,029,901.0","18,901,143.0",2021-11-30 21:41:58
33,<a href=https://cryptocompare.com/coins/vet/overview>VET</a>,<a href=https://cryptocompare.com/coins/vet/overview>VeChain</a>,0.12,<p class=red>-0.91%</p>,<p class=red>-1.73%</p>,"264,873,056.0","10,249,416,908.0","85,985,041,177.0",2021-11-30 21:41:57
34,<a href=https://cryptocompare.com/coins/mana/overview>MANA</a>,<a href=https://cryptocompare.com/coins/mana/overview>Decentraland</a>,4.61,<p class=red>-1.09%</p>,<p class=red>-8.48%</p>,"904,205,857.0","10,112,038,736.0","2,193,976,727.0",2021-11-30 21:42:00
35,<a href=https://cryptocompare.com/coins/trx/overview>TRX</a>,<a href=https://cryptocompare.com/coins/trx/overview>TRON</a>,0.1,<p class=red>-0.66%</p>,<p class=green>+0.26%</p>,"1,209,167,900.0","9,607,612,900.0","99,241,947,122.0",2021-11-30 21:42:01
36,<a href=https://cryptocompare.com/coins/grt/overview>GRT</a>,<a href=https://cryptocompare.com/coins/grt/overview>The Graph</a>,0.92,<p class=red>-1.01%</p>,<p class=red>-5.75%</p>,"124,913,906.0","9,465,979,824.0","10,245,675,749.0",2021-11-30 21:41:59
37,<a href=https://cryptocompare.com/coins/dai/overview>DAI</a>,<a href=https://cryptocompare.com/coins/dai/overview>Dai</a>,1.0,<p class=green>+0.0%</p>,<p class=green>+0.0%</p>,"32,369,435.0","8,842,816,671.0","8,842,816,671.0",2021-11-30 21:41:53
38,<a href=https://cryptocompare.com/coins/egld/overview>EGLD</a>,<a href=https://cryptocompare.com/coins/egld/overview>Elrond</a>,383.24,<p class=red>-1.42%</p>,<p class=red>-4.9%</p>,"135,079,354.0","8,741,467,174.0","22,809,381.0",2021-11-30 21:41:31
39,<a href=https://cryptocompare.com/coins/rly/overview>RLY</a>,<a href=https://cryptocompare.com/coins/rly/overview>Rally</a>,0.56,<p class=red>-1.64%</p>,<p class=red>-0.52%</p>,"4,635,929.0","8,344,500,000.0","15,000,000,000.0",2021-11-30 21:41:59
40,<a href=https://cryptocompare.com/coins/jasmy/overview>JASMY</a>,<a href=https://cryptocompare.com/coins/jasmy/overview>JasmyCoin</a>,0.17,<p class=green>+0.3%</p>,<p class=red>-4.18%</p>,"17,617,545.0","8,254,999,999.0","49,999,999,999.0",2021-11-30 21:41:57
41,<a href=https://cryptocompare.com/coins/crv/overview>CRV</a>,<a href=https://cryptocompare.com/coins/crv/overview>Curve DAO Token</a>,4.83,<p class=red>-2.24%</p>,<p class=red>-2.05%</p>,"226,837,185.0","7,934,073,848.0","1,640,966,669.0",2021-11-30 21:41:56
42,<a href=https://cryptocompare.com/coins/atom/overview>ATOM</a>,<a href=https://cryptocompare.com/coins/atom/overview>Cosmos</a>,27.84,<p class=red>-1.21%</p>,<p class=red>-1.42%</p>,"328,375,502.0","7,885,009,608.0","283,225,919.0",2021-11-30 21:41:58
43,<a href=https://cryptocompare.com/coins/ust/overview>UST</a>,<a href=https://cryptocompare.com/coins/ust/overview>TerraUSD</a>,1.01,<p class=green>+0.5%</p>,<p class=green>+0.7%</p>,"9,701,872.0","7,648,636,662.0","7,572,907,586.0",2021-11-30 21:41:31
44,<a href=https://cryptocompare.com/coins/ygg/overview>YGG</a>,<a href=https://cryptocompare.com/coins/ygg/overview>Yield Guild Games</a>,7.28,<p class=red>-0.3%</p>,<p class=red>-4.35%</p>,"4,597,299.0","7,279,422,821.0","1,000,000,000.0",2021-11-30 21:41:54
45,<a href=https://cryptocompare.com/coins/qnt/overview>QNT</a>,<a href=https://cryptocompare.com/coins/qnt/overview>Quant</a>,201.69,<p class=red>-0.93%</p>,<p class=red>-4.57%</p>,"29,189,229.0","7,244,953,695.0","35,921,234.0",2021-11-30 21:41:55
46,<a href=https://cryptocompare.com/coins/ens/overview>ENS</a>,<a href=https://cryptocompare.com/coins/ens/overview>Ethereum Name Service</a>,70.22,<p class=red>-0.37%</p>,<p class=red>-5.02%</p>,"46,605,916.0","7,022,000,000.0","100,000,000.0",2021-11-30 21:41:59
47,<a href=https://cryptocompare.com/coins/fil/overview>FIL</a>,<a href=https://cryptocompare.com/coins/fil/overview>FileCoin</a>,53.72,<p class=red>-0.57%</p>,<p class=red>-3.38%</p>,"374,524,427.0","6,969,603,952.0","129,739,463.0",2021-11-30 21:41:42
48,<a href=https://cryptocompare.com/coins/pci/overview>PCI</a>,<a href=https://cryptocompare.com/coins/pci/overview>PayProtocol Paycoin</a>,1.71,<p class=red>-2.16%</p>,<p class=red>-0.41%</p>,"7,536,313.0","6,752,278,690.0","3,941,000,000.0",2021-11-30 21:41:54
